'TITLE',"'AUTHOR (first, last)'","'AUTHOR (last, first)'",'DATE','LCC','DDC','ISBNs',"'PUBLICATION INFO'",'COMMENT','RATINGS','REVIEWS',"'ENTRY DATE'",'COPIES','SUBJECTS','COLLECTIONS','TAGS'
"The Bible Unearthed: Archaeology's New Vision of Ancient Israel and the Origin of Its Sacred Texts","Neil Asher Silberman","Silberman, Neil Asher",2002,,,[0684869136],"Touchstone (2002), Edition: 0, Paperback, 385 pages",,0,,"2014-01-21 18:50:21",1,"Bible. O.T. > Antiquities > 
Bible. O.T. > Evidences, authority, etc","Your library","archeology,christianity,religion,nonfiction,anthropology,REFERENCES:0192835254"
"Persepolis: The Story of a Childhood","Marjane Satrapi","Satrapi, Marjane",2004,,,[037571457X],"Pantheon (2004), Edition: First Edition, Paperback, 160 pages",,0,,"2014-01-21 18:50:21",1,"Animated films
Biographical
Biographical films
Family > Iran > Drama
Feature films
Fiction films
Foreign films
Fundamentalismo islÃ¡mico > IrÃ¡n > Teatro
Girls > Iran > Comic books, strips, etc
Iran > Comic books, strips, etc
Iran > Drama
Iran > History > Revolution, 1979 > Drama
IrÃ¡n > Historia > Teatro
Islamic fundamentalism > Iran > Drama
Revolutionaries > Iran > Drama
Satrapi, Marjane, 1969- > Comic books, strips, etc > 
Women","Your library","islam,iran,memoir,middle east,feminism,graphic novels & comics"
"Tesla: Man Out of Time","Margaret Cheney","Cheney, Margaret",2001,,,[0743215362],"Touchstone (2001), Edition: 1, Paperback, 400 pages",,0,,"2014-01-21 18:50:21",1,"Electric engineers > United States > Biography > 
Electric engineers > United States > Biography
Inventors > United States > Biography > 
Inventors > United States > Biography
Tesla, Nikola, 1856-1943","Your library","biography,science,nonfiction,RECOMMENDER:Mom"
"Attack of the Deranged Mutant Killer Monster Snow Goons (Calvin & Hobbes)","Bill Watterson","Watterson, Bill",1992,,,[0836218833],"Andrews McMeel Publishing (1992), Edition: 0, Paperback, 128 pages",,0,,"2014-01-21 18:50:21",1,"Comic books, strips, etc > 
Comic books, strips, etc","Your library","children's,graphic novels & comics"
"The Cuckoo's Egg: Tracking a Spy Through the Maze of Computer Espionage","Clifford Stoll","Stoll, Clifford",1989,,,[0385249462],"Doubleday (1989), Edition: 1st, Hardcover, 326 pages",,0,,"2014-01-21 18:50:22",1,"Computer crimes > Germany > Hannover > 
Computer crimes > Germany (West) > Hannover > 
Computer crimes > Hannover
Computer crimes > United States > 
Computer crimes > United States
Defense information, Classified > United States > Databases > 
Defense information, Classified > United States > Databases
Espionage, Soviet > Germany > Hannover > 
Espionage, Soviet > Germany (West) > Hannover > 
Espionage, Soviet > Hannover
Espionage, Soviet > United States > 
Espionage, Soviet > United States
Hess, Markus > 
Stoll, Clifford","Your library","computers,hackers,espionage,nonfiction"
Anathem,"Neal Stephenson","Stephenson, Neal",2008,,,[0061474096],"William Morrow (2008), Edition: First Edition, Hardcover, 960 pages",,0,,"2014-01-21 18:50:22",1,"Disasters > Fiction
Intellectuals > Fiction
Life on other planets > Fiction
Mathematics > Fiction
Monasteries > Fiction
Philosophy > Fiction
Science fiction
Suspense fiction","Your library","religion,parallel worlds,novel,monks,RECOMMENDER:Sigmund"
"Veiled Sentiments: Honor and Poetry in a Bedouin Society,","Lila Abu-Lughod","Abu-Lughod, Lila",2000,,,[9780520224735],"University of California Press (2000), Edition: Updated, Paperback, 356 pages",,0,,"2014-01-21 18:50:22",1,"Bedouins > Egypt > Folklore > 
Bedouins > Egypt > Folklore
Bedouins > Egypt > Social life and customs > 
Bedouins > Egypt > Social life and customs
Folk poetry, Arabic > Egypt > History and criticism > 
Folk poetry, Arabic > Egypt > History and criticism
Honor > Folklore > 
Honor > Folklore
Sex customs > Egypt > 
Sex customs > Egypt
Women > Egypt > 
Women, Bedouin > Egypt > 
Women, Bedouin > Egypt","Your library","anthropology,islam,bedouin,poetry,nonfiction,ethnography"
Orientalism,"Edward W. Said","Said, Edward W.",1979,,,[039474067X],"Vintage (1979), Edition: 1st Vintage Books ed, Paperback, 368 pages",,0,,"2014-01-21 18:50:22",1,"Asia > Foreign opinion, Occidental > 
Asia > Foreign public opinion
Asia > Foreign public opinion, Occidental > 
Asia > Foreign public opinion, Occidental
Asia > Study and teaching > 
Asia > Study and teaching
Civilization, Oriental
East and West > 
East and West
East and West in literature
English literature > Asian influences
Imperialism > 
Imperialism
Middle East > Foreign opinion, Occidental > 
Middle East > Foreign public opinion
Middle East > Foreign public opinion, Occidental > 
Middle East > Foreign public opinion, Occidental
Middle East > Study and teaching > 
Middle East > Study and teaching
Orient > Historiography
Orient > In literature
Orient > Relations
Orientalism > 
Orientalism","Your library","islam,anthropology,politics,race,nonfiction,theory"
"A Scanner Darkly","Philip K. Dick","Dick, Philip K.",2006,,,[1400096901],"Vintage (2006), Paperback, 278 pages",,0,,"2014-01-21 18:50:22",1,"Detectives > Fiction > 
Didactic fiction > 
Didactic fiction
Drug abuse > Fiction > 
Drug abuse > Fiction
Fiction in English > 
Impostors and imposture > Fiction > 
Multiple personality > Fiction > 
Multiple personality > Fiction
Narcotic habit > Fiction > 
Police > Fiction > 
Police > Fiction
Science fiction > 
Science fiction
Stories without words","Your library","drugs,dystopia,paranoia,cyberpunk,novel"
"Weighing In: Obesity, Food Justice, and the Limits of Capitalism (California Studies in Food and Culture)","Julie Guthman","Guthman, Julie",2011,,,[0520266250],"University of California Press (2011), Edition: 1, Paperback, 248 pages",,0,,"2014-01-21 18:50:22",1,,"Your library","anthropology,food,obesity,nonfiction"
