Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
11566956,Are You My Mother?,Alison Bechdel,"Bechdel, Alison",,"=""0618982507""","=""9780618982509""",0,3.67,Houghton Mifflin,Hardcover,290,2012,2012,2014/07/27,2014/07/27,,,read,,,,1,,,0,,,,,
17571564,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,"Brosh, Allie",,"=""1451666179""","=""9781451666175""",0,4.17,Touchstone,Paperback,371,2013,2013,2014/07/14,2014/07/14,,,read,,,,1,,,0,,,,,
9615347,Anya's Ghost,Vera Brosgol,"Brosgol, Vera",,"=""1596437138""","=""9781596437135""",0,3.88,First Second,Hardcover,221,2011,2011,2014/06/26,2014/06/26,,,read,,,,1,,,0,,,,,
10108380,Paying for It,Chester Brown,"Brown, Chester",Robert Crumb,"=""1770460489""","=""9781770460485""",0,3.64,Drawn and Quarterly,Hardcover,292,2011,2011,2014/06/24,2014/06/24,,,read,,,,1,,,0,,,,,
953489,Imaginary Magnitude,Stanisław Lem,"Lem, Stanisław",,"=""0156441802""","=""9780156441803""",0,3.98,Mariner Books,Paperback,248,1985,1973,2014/05/28,2014/05/03,,,read,,,,1,,,0,,,,,
123063,Under the Skin,Michel Faber,"Faber, Michel",,"=""1841954802""","=""9781841954806""",0,3.72,Canongate Books Ltd,Paperback,296,2004,2000,2014/05/19,2014/05/17,,,read,,,,1,,,0,,,,,
15790895,"The Shambling Guide to New York City (The Shambling Guides, #1)",Mur Lafferty,"Lafferty, Mur",,"=""0316221171""","=""9780316221177""",0,3.74,Orbit,Paperback,350,2013,2013,2014/04/30,2014/04/29,,,read,,,,1,,,0,,,,,
208267,"The Golden Apple (Illuminatus, #2)",Robert Shea,"Shea, Robert",Robert Anton Wilson,"=""0440046912""","=""9780440046912""",0,4.22,Dell Publishing Co.,Paperback,272,1975,1975,2014/04/29,2014/04/11,,,read,,,,1,,,0,,,,,
17713533,East of West #1,Jonathan Hickman,"Hickman, Jonathan",Nick Dragotta,"=""""","=""""",0,3.84,Image Comics,Paperback,96,2013,2013,2014/04/01,2014/04/01,,,read,,,,1,,,0,,,,,
19358975,"Saga, Vol. 3 (Saga, #3)",Brian K. Vaughan,"Vaughan, Brian K.",Fiona Staples,"=""1607069318""","=""9781607069317""",0,4.55,Image Comics,Paperback,144,2014,2014,2014/03/26,2014/03/26,,,read,,,,1,,,0,,,,,
92121,Nine Princes in Amber (The Chronicles of Amber #1),Roger Zelazny,"Zelazny, Roger",,"=""0380014300""","=""9780380014309""",0,4.10,Avon,Mass Market Paperback,175,1986,1970,2014/03/24,2014/03/24,,,read,,,,1,,,0,,,,,
164154,A Canticle for Leibowitz,Walter M. Miller Jr.,"Jr., Walter M. Miller",,"=""0060892994""","=""9780060892999""",0,3.98,HarperCollins EOS,Paperback,335,2006,1959,2014/03/24,2014/03/19,,,read,,,,1,,,0,,,,,
241879,"The Eye in the Pyramid (Illuminatus, #1)",Robert Shea,"Shea, Robert",Robert Anton Wilson,"=""0722192193""","=""9780722192191""",0,3.84,Sphere Books,Paperback,311,1987,1975,2014/03/05,2014/03/05,,,read,,,,1,,,0,,,,,
72113,"Astro City, Vol. 3: Family Album",Kurt Busiek,"Busiek, Kurt","Alex Ross, Brent Anderson","=""1563895528""","=""9781563895524""",0,4.14,Wildstorm,Paperback,224,1999,1997,2014/02/27,2014/02/27,,,read,,,,1,,,0,,,,,
113205,Heart of a Dog,Mikhail Bulgakov,"Bulgakov, Mikhail",Mirra Ginsburg,"=""0802150594""","=""9780802150592""",0,4.14,Grove Press,Paperback,126,1994,1925,2014/02/14,2014/02/14,,,read,,,,1,,,0,,,,,
2795053,"The Umbrella Academy, Vol. 1: The Apocalypse Suite",Gerard Way,"Way, Gerard","Gabriel Bá, Dave Stewart, Nate Piekos, Tony Ong","=""1593079788""","=""9781593079789""",0,3.96,Dark Horse Comics,Paperback,184,2008,2007,2014/02/14,2014/02/14,,,read,,,,1,,,0,,,,,
6695,Skin and Other Stories,Roald Dahl,"Dahl, Roald",,"=""0141310340""","=""9780141310343""",0,4.07,Puffin Books,Paperback,224,2002,1960,2014/02/12,2014/02/09,,,read,,,,1,,,0,,,,,
22416,"Transmetropolitan, Vol. 1: Back on the Street (Transmetropolitan, #1)",Warren Ellis,"Ellis, Warren","Darick Robertston, Garth Ennis","=""1563894459""","=""9781563894459""",0,4.23,Vertigo,Paperback,144,1998,1998,2014/01/18,2014/01/16,,,read,,,,1,,,0,,,,,
